Number collaborations;artist_id;artist_name;channel_id;channel_name;feat_artist_id;feat_artist_name;subs_count;view_count
30;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000567809;Modern Talking;474001;573163176
7;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000664817;Gloria Estefan;474001;573163176
4;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000759187;Blaque;474001;573163176
1;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000799081;Full Force;474001;573163176
5;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000850607;Rosie O'Donnell;474001;573163176
31;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000101895;Joe;474001;573163176
5;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000337119;Phil Collins;474001;573163176
15;mn0000516929;*NSYNC;UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;mn0000861351;Nelly;474001;573163176
11;mn0000480108;A-ha;UCeEi1My3KTXHT0SG1JkR9gA;a-ha;mn0000716816;Wolfgang Petry;339851;217453217
45;mn0000480108;A-ha;UCeEi1My3KTXHT0SG1JkR9gA;a-ha;mn0001489096;Electric Rudeboyz;339851;217453217
5;mn0000480108;A-ha;UCeEi1My3KTXHT0SG1JkR9gA;a-ha;mn0000325459;R.E.M.;339851;217453217
21;mn0000480108;A-ha;UCeEi1My3KTXHT0SG1JkR9gA;a-ha;mn0001178546;Blue Zoo;339851;217453217
23;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000631253;Sián Jones;1257278;87859469
10;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000662797;Ginuwine;1257278;87859469
19;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000661795;DMX;1257278;87859469
9;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000090810;The League;1257278;87859469
21;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000668393;DJ /rupture;1257278;87859469
4;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000602378;Timbaland;1257278;87859469
5;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000748713;Slick Rick;1257278;87859469
5;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000537548;Busta Rhymes;1257278;87859469
7;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000502371;Missy Elliott;1257278;87859469
2;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000373634;Nas;1257278;87859469
17;mn0000578999;Aaliyah;UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;mn0000745225;Static;1257278;87859469
24;mn0000922728;Abba;UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;mn0000583653;Anni-Frid Lyngstad;1008550;1530451036
12;mn0000922728;Abba;UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;mn0000171889;Elephant Man;1008550;1530451036
18;mn0000922728;Abba;UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;mn0003660064;"Djmaxx""";1008550;1530451036
2;mn0000922728;Abba;UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;mn0003175539;Jarl Kulle;1008550;1530451036
14;mn0000922728;Abba;UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;mn0002070009;Predator;1008550;1530451036
45;mn0000922728;Abba;UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;mn0000987415;Mamma Mia;1008550;1530451036
25;mn0000922728;Abba;UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;mn0000784073;The Countdown Singers;1008550;1530451036
