channel_id;channel_title;view_count;subscriber_count;playlist_id
UCsiSmzL5G7VS_pfKMXqmcjw;NSYNCVEVO;572035818;474128;UUsiSmzL5G7VS_pfKMXqmcjw
UC-xTVl97pv9ftbOu8UfVy_Q;NatalieMerchantVideo;26199696;40106;UU-xTVl97pv9ftbOu8UfVy_Q
UCeEi1My3KTXHT0SG1JkR9gA;a-ha;216942980;338830;UUeEi1My3KTXHT0SG1JkR9gA
UCneR_qQ1NE_u9neBSEJJ7lg;MsAaliyahJay;87678984;1256852;UUneR_qQ1NE_u9neBSEJJ7lg
UCa_4DcdTB9QfK0LY9-7qWuQ;AbbaVEVO;1527781457;1008765;UUa_4DcdTB9QfK0LY9-7qWuQ
UCGEULO7Ruetmngtl593OoXg;AbrahamMateoVEVO;1023444698;2555987;UUGEULO7Ruetmngtl593OoXg
UCmPuJ2BltKsGE2966jLgCnw;acdcVEVO;3202638933;3155876;UUmPuJ2BltKsGE2966jLgCnw
UCansLl8T6imFHqOhfXoAHmg;Ace of Base (Official);283650013;281247;UUansLl8T6imFHqOhfXoAHmg
UCSpA4zQzlhoPCY2-usyGAMA;AdamLambertVEVO;295350658;710228;UUSpA4zQzlhoPCY2-usyGAMA
UComP_epzeKzvBX156r6pm1Q;AdeleVEVO;7971227459;16077466;UUomP_epzeKzvBX156r6pm1Q
UCiXsh6CVvfigg8psfsTekUA;AerosmithVEVO;1619139319;1421120;UUiXsh6CVvfigg8psfsTekUA
UCupqV1eZrI2cj47zDJjmmnA;Age of Chance - Topic;5565;16;UUupqV1eZrI2cj47zDJjmmnA
UC7tb2Of68kIlrtj2qUnJtbQ;Al Green - Topic;5582505;11248;UU7tb2Of68kIlrtj2qUnJtbQ
UC1aSSGX183S8v-_7h78jrhA;Al Jarreau - Topic;1184937;5202;UU1aSSGX183S8v-_7h78jrhA
UCMSnwh4D7Dp8LRo7MW8dHuQ;Al Stewart - Topic;1473070;1770;UUMSnwh4D7Dp8LRo7MW8dHuQ
UCvb0RGY80J8LSG1kIwNSXHA;The Alan Parsons Project - Topic;2892714;7819;UUvb0RGY80J8LSG1kIwNSXHA
UCJrOtniJ0-NWz37R30urifQ;Alan Walker;5904844546;21957585;UUJrOtniJ0-NWz37R30urifQ
UCrTC0tOY5aujQFYDRf65xiw;Alanis Morissette;312581839;400249;UUrTC0tOY5aujQFYDRf65xiw
UCLEEy235pg5e9EghU93GQsw;ALASKA;60635285;372050;UULEEy235pg5e9EghU93GQsw
UC0K-1_31jfkcA4Nd294gMyA;Alejandro Fernández;11993086;2207654;UU0K-1_31jfkcA4Nd294gMyA
UCCEZY5vEQBsQN5i3ceiLo7g;AlejandroSanzVEVO;728613200;1008798;UUCEZY5vEQBsQN5i3ceiLo7g
UCfY49hxU6SByzF1EWaXi8iQ;Alesha Dixon;48167075;83859;UUfY49hxU6SByzF1EWaXi8iQ
UCqGsUXYUYJsAcqi5fOzo4Zw;AlexUbagoChannel;1176798;10183;UUqGsUXYUYJsAcqi5fOzo4Zw
UC4kxdw7t3p1gedZ5Jp3HS5w;AliceCooperVEVO;212653303;178453;UU4kxdw7t3p1gedZ5Jp3HS5w
UChf0Knt-e9Pw8VywfuTZCjA;AliceInChainsVEVO;391598396;359876;UUhf0Knt-e9Pw8VywfuTZCjA
UCK5X3f0fxO4YnVKVZP8p6hg;Alicia Keys;43779774;3258189;UUK5X3f0fxO4YnVKVZP8p6hg
UCSf2D9Hl9_wLDVr-hp05BmA;ALLSAINTS;100269;24009;UUSf2D9Hl9_wLDVr-hp05BmA
UC-GWJZkyivsS-0yMjKMH0AA;Alphaville - Topic;4023506;3450;UU-GWJZkyivsS-0yMjKMH0AA
UCUBlG-MkFjksX7Cb2ofN9gQ;amaiamonteroVEVO;194086832;288689;UUUBlG-MkFjksX7Cb2ofN9gQ
UC5qFG6DtTqTBf91y8Ayh3xA;Pedro Amaral;24017271;546873;UU5qFG6DtTqTBf91y8Ayh3xA
UCOAQl99VpqRnRY6nOqlhe8w;Amistades Peligrosas Catálogo;52615101;65144;UUOAQl99VpqRnRY6nOqlhe8w
UCzfA1278Uq22jQVCV6q19ug;Amparanoia - Topic;44719;375;UUzfA1278Uq22jQVCV6q19ug
UCMf7B1VAmNzjHFRWz1wuMZA;AmyMacdonaldVEVO;141432314;130889;UUMf7B1VAmNzjHFRWz1wuMZA
UCHai12P6Gh7PaIYZGnzyrSA;AmyWinehouseVEVO;1257553674;1638698;UUHai12P6Gh7PaIYZGnzyrSA
UCIbghfR6TYMvvncB1OcglDg;Ana Belén - Topic;519973;1923;UUIbghfR6TYMvvncB1OcglDg
UCSCnPN56BRVSDBacr5oeTag;Deep Forest;1262875;15980;UUSCnPN56BRVSDBacr5oeTag
UCTeTkUjjdRO4TA14GTRAUhg;Anastacia Kay;40004996;480906;UUTeTkUjjdRO4TA14GTRAUhg
UCb4JB8-ZAeceuR7EPCPOPzg;Andrea Bocelli;39614093;1699184;UUb4JB8-ZAeceuR7EPCPOPzg
UCbf7RSta_cgMhOYR_l2LkEQ;The Corrs (official);4310898;36803;UUbf7RSta_cgMhOYR_l2LkEQ
UCmScN8QPLtu6bjUpvfehDDQ;Andrés Calamaro - Topic;1784699;16822;UUmScN8QPLtu6bjUpvfehDDQ
UCLUi5qNAy5THSAI4neRPkSQ;Andy & Lucas - Topic;1880839;4141;UULUi5qNAy5THSAI4neRPkSQ
UCYkW00cPFkp1UzYON7XZB2A;EurythmicsVEVO;454996219;417178;UUYkW00cPFkp1UzYON7XZB2A
UCDg8OKNNZEvWvMAYtXZMPMQ;Antônio Carlos Jobim - Topic;984996;8242;UUDg8OKNNZEvWvMAYtXZMPMQ
UCaKeasZJuQ_ZYw0o9hsfGbg;Lolita Flores - Topic;14430;157;UUaKeasZJuQ_ZYw0o9hsfGbg
UCgGS3ZLoy95z51vGVUCO_rA;AntonioOrozcoVEVO;208711758;254136;UUgGS3ZLoy95z51vGVUCO_rA
UCPJ_C8cE5qywedmDVCwpirg;Vincent Antonio Vega;0;6590;UUPJ_C8cE5qywedmDVCwpirg
UC1W2JL-3XugukNaj3IWoM3g;McQueen;71142432;613689;UU1W2JL-3XugukNaj3IWoM3g
UCUiiO_bccZFMVmnJ2Jj95lg;ArcadeFireVEVO;162631542;292288;UUUiiO_bccZFMVmnJ2Jj95lg
UC-KTRBl9_6AX10-Y7IKwKdw;Official Arctic Monkeys;1358763949;3861941;UU-KTRBl9_6AX10-Y7IKwKdw
UCSuWu2ZVL3kRmKtCggqskQQ;ArethaFranklinVEVO;40537946;89260;UUSuWu2ZVL3kRmKtCggqskQQ
UCJ0uqCI0Vqr2Rrt1HseGirg;The Late Late Show with James Corden;5524103056;18400198;UUJ0uqCI0Vqr2Rrt1HseGirg
UCvjuHsFBWDJptFxYu5rwhXw;Ariel Rot;2675764;5822;UUvjuHsFBWDJptFxYu5rwhXw
UCcIszZPVuroWlLXu4HjZdEw;SimonGarfunkelVEVO;192305161;164391;UUcIszZPVuroWlLXu4HjZdEw
UC35rgHcf2wBYMHwxLtyG5Dg;AshleeSimpsonVEVO;73366218;67689;UU35rgHcf2wBYMHwxLtyG5Dg
UC1SqP7_RfOC9Jf9L_GRHANg;AviciiOfficialVEVO;6059538834;11512889;UU1SqP7_RfOC9Jf9L_GRHANg
UCC6XuDtfec7DxZdUa7ClFBQ;AvrilLavigneVEVO;3655688089;7168789;UUC6XuDtfec7DxZdUa7ClFBQ
UCUFdeo1oLLH_QPlaQfZrqbg;BackstreetBoysVEVO;2052024022;1934172;UUUFdeo1oLLH_QPlaQfZrqbg
UCDE5Ezmxq1bNVak4lmkpCMw;Epitaph Records;1651894630;2232718;UUDE5Ezmxq1bNVak4lmkpCMw
UCby1_syIoXAn08evtGbX0zQ;Bananarama - Topic;706433;2705;UUby1_syIoXAn08evtGbX0zQ
UCzIOJfQMRe_-TlUOeVMqzzQ;TheBanglesVEVO;144807381;97272;UUzIOJfQMRe_-TlUOeVMqzzQ
UCzSMLQdgZwTE4emG7teJ5lw;barbrastreisandVEVO;50905226;72447;UUzSMLQdgZwTE4emG7teJ5lw
UCrtwSXAnOmk5TPqxRrmrXTw;Barry White - Topic;7788079;25826;UUrtwSXAnOmk5TPqxRrmrXTw
UCpRUSBcRWUQZIj3_jWF19Dg;BeastieBoys;23090448;284241;UUpRUSBcRWUQZIj3_jWF19Dg
UC2An1KRcyBwl905jl3goCAA;BeatrizLuengoVEVO;90640459;146720;UU2An1KRcyBwl905jl3goCAA
UC5-gWZXAQqSGVfPHkA7NRiQ;Bebe Rexha;2080743729;6176974;UU5-gWZXAQqSGVfPHkA7NRiQ
UCE5X055cpI10qBP94jUH6cQ;Bebo Valdés - Topic;66981;638;UUE5X055cpI10qBP94jUH6cQ
UC0vSB46MmHTwwxQrAo62Dgg;GoodNeighborStuff;55044490;249957;UU0vSB46MmHTwwxQrAo62Dgg
UCD9sCcKXnFxMeuFoNayVxeQ;beegees;1132899519;1240586;UUD9sCcKXnFxMeuFoNayVxeQ
UCNdGpL-nNKk1nnHcO6kLY1w;Belén Arjona - Topic;13394;117;UUNdGpL-nNKk1nnHcO6kLY1w
UCNXhnmPS1NvkwWolhfxe4nA;BelindaCarlisleHD;22919802;19282;UUNXhnmPS1NvkwWolhfxe4nA
UCBjOg7XJfcgUjfF3BNCw3IA;Ben Harper;14623993;79563;UUBjOg7XJfcgUjfF3BNCw3IA
UCJhmf1IP1bXfPB3XTQcJJmw;Benny Goodman - Topic;887829;2989;UUJhmf1IP1bXfPB3XTQcJJmw
UC2IDkGu61j_mwNJOc54Sb5w;BERTH OH!;606466769;6294448;UU2IDkGu61j_mwNJOc54Sb5w
UC9zX2xZIJ4cnwRsgBpHGvMg;BeyoncéVEVO;9393003027;13610292;UU9zX2xZIJ4cnwRsgBpHGvMg
UCW-raws5Iq2xLADkLcEoVaA;Billie Holiday - Topic;1584312;9560;UUW-raws5Iq2xLADkLcEoVaA
UCELh-8oY4E5UBgapPGl5cAg;billyjoelVEVO;637375108;401147;UUELh-8oY4E5UBgapPGl5cAg
UC3BuiU3nA2hT9Fq0ekBIcuQ;Bing Crosby - Topic;2578346;5589;UU3BuiU3nA2hT9Fq0ekBIcuQ
UCFbRdRGijPR4oBjQ0fVCSmw;Björk;87451700;327794;UUFbRdRGijPR4oBjQ0fVCSmw
UCY8iijN1AkyDCh1Z9akcqUA;funkyblackcat;587584816;2678342;UUY8iijN1AkyDCh1Z9akcqUA
UCrx-X329UKv0Y06VhfpFVvw;Black Sabbath;176086722;501927;UUrx-X329UKv0Y06VhfpFVvw
UChY2rr3U2xAfu1pW-x2fqcg;Blondie & Co;17107090;191901;UUhY2rr3U2xAfu1pW-x2fqcg
UCIvE0AhNMRKfk62GdsgZhoA;StallionsTV / SoaR Blur!;101639875;744924;UUIvE0AhNMRKfk62GdsgZhoA
UCZwMj-i4JMwzkPMGqD8sZrw;BobDylanVEVO;177651378;215497;UUZwMj-i4JMwzkPMGqD8sZrw
UCZKXNdqxqIFavuBFwci1Slg;DamianMarleyVEVO;370066794;761559;UUZKXNdqxqIFavuBFwci1Slg
UC-W2r6noRdQhaC5VqBqqnhg;BobbyMcFerrinVEVO;130213095;54815;UU-W2r6noRdQhaC5VqBqqnhg
UCwlTofOAY79PS_GhmborAdA;BonJoviVEVO;3371181258;2995366;UUwlTofOAY79PS_GhmborAdA
UCHFPpw9jReIhssGTUNUZBoA;BoneyMVEVO;250297743;405118;UUHFPpw9jReIhssGTUNUZBoA
UC3Kmov5NYlfcDFS5OPcix7g;bonnietylerVEVO;655014286;798418;UU3Kmov5NYlfcDFS5OPcix7g
UCITtis6-2E91zer7IRZghCw;The Voice Australia;579006336;671714;UUITtis6-2E91zer7IRZghCw
UC6zyJTWons-MYXdejeH_O8g;Boyzone - Topic;757428;3689;UU6zyJTWons-MYXdejeH_O8g
UC8Xf09X-hwLJkpAZ_16LwbQ;BrandiCarlileVEVO;51022440;65919;UU8Xf09X-hwLJkpAZ_16LwbQ
UCoWPCwCsQmBwoXBCL_laaIw;Brian Eno - Topic;1053199;8226;UUoWPCwCsQmBwoXBCL_laaIw
UCZijND2e2tPp2AQL8Go2YSg;BritneySpearsVEVO;4697133367;5177183;UUZijND2e2tPp2AQL8Go2YSg
UCcu7ANuD9J7hnTQCREqIc4Q;Bruce Springsteen;39021354;694072;UUcu7ANuD9J7hnTQCREqIc4Q
UCoUM-UJ7rirJYP8CQ0EIaHA;Bruno Mars;10370559578;24145599;UUoUM-UJ7rirJYP8CQ0EIaHA
UCxuYPUdTZHRZKVRZ1km1plw;Bryan Adams;1135414678;2030419;UUxuYPUdTZHRZKVRZ1km1plw
UCfxccxELSP7sFI2h5-rNJ3Q;Bryan Ferry;40739523;79176;UUfxccxELSP7sFI2h5-rNJ3Q
UCpbyOgUSjTSPpvVUAT2OyHw;Blonde in the Belly of the Beast;6329478;122062;UUpbyOgUSjTSPpvVUAT2OyHw
UCYYeCcLlJNGPbRmLYdxmLNA;Buffalo Tom - Topic;57473;124;UUYYeCcLlJNGPbRmLYdxmLNA
UC5V2ROnCIT1Cj2YbDZRkaFA;Buika Fans;12537028;21873;UU5V2ROnCIT1Cj2YbDZRkaFA
UCbEWK-hyGIoEVyH7ftg8-uA;CaetanoVelosoVEVO;187242869;341353;UUbEWK-hyGIoEVyH7ftg8-uA
UCzPufOWXzjZDnTRKxH7EweQ;Café Quijano;45968500;94510;UUzPufOWXzjZDnTRKxH7EweQ
UCgLJgiGNBPdISct3KvhKeYA;CafeTacubaVEVO;492182869;608254;UUgLJgiGNBPdISct3KvhKeYA
UCaHNFIob5Ixv74f5on3lvIw;CalvinHarrisVEVO;10415516269;12671145;UUaHNFIob5Ixv74f5on3lvIw
