Number collaborations;artist_id;artist_name;feat_artist_id;feat_artist_name
10;mn0000000534;All Saints;mn0000344634;Melanie Blatt
6;mn0000000534;All Saints;mn0000642542;Burt Bacharach
8;mn0000000534;All Saints;mn0000815862;All-Saints Ensemble
50;mn0000000534;All Saints;mn0001233067;Danny Thompson
19;mn0000002578;Tanita Tikaram;mn0000236246;Mark Isham
3;mn0000002578;Tanita Tikaram;mn0000495877;Moodswings
5;mn0000002748;Pata Negra;mn0000869068;Mercedes Sosa
6;mn0000002748;Pata Negra;mn0001589240;Rafael Amador
2;mn0000004332;Sharleen Spiteri;mn0000302774;Roger Sanchez
4;mn0000004332;Sharleen Spiteri;mn0000333648;Rammstein
159;mn0000004852;Selena;mn0000005945;Selena y los Dinos
7;mn0000004852;Selena;mn0000040407;The Barrio Boyzz
7;mn0000004852;Selena;mn0000093629;Los Kumbia Kings
10;mn0000004852;Selena;mn0000187907;Don Omar
10;mn0000004852;Selena;mn0000370097;"Nando ""Guero"" Dominguez"
42;mn0000004852;Selena;mn0000798858;Emilio Navaira
4;mn0000004852;Selena;mn0000922050;Vidal Brothers
4;mn0000004852;Selena;mn0001383740;X-Men
13;mn0000005307;Alicia Keys;mn0000065618;Baka Boyz
28;mn0000005307;Alicia Keys;mn0000150962;Eve
3;mn0000005307;Alicia Keys;mn0000197355;Freeway
2;mn0000005307;Alicia Keys;mn0000201983;Westlife
6;mn0000005307;Alicia Keys;mn0000312890;Justin Timberlake
18;mn0000005307;Alicia Keys;mn0000319338;Luke Ebbin
2;mn0000005307;Alicia Keys;mn0000420967;Memphis Jug Band
16;mn0000005307;Alicia Keys;mn0000550233;Chris Blue
30;mn0000005307;Alicia Keys;mn0000630035;Nancy McClean
15;mn0000005307;Alicia Keys;mn0000771269;Bono
23;mn0000005307;Alicia Keys;mn0000774551;J Love
5;mn0000005307;Alicia Keys;mn0000780734;Jadakiss
12;mn0000005307;Alicia Keys;mn0000919805;50 Cent
8;mn0000005307;Alicia Keys;mn0000967055;Children of Agape
26;mn0000005307;Alicia Keys;mn0001002995;Vitamin String Quartet
3;mn0000005953;Alice Cooper;mn0000003595;Andrew Lloyd Webber
24;mn0000005953;Alice Cooper;mn0000059819;Betty Wright
25;mn0000005953;Alice Cooper;mn0000193963;Warrant
31;mn0000005953;Alice Cooper;mn0000216311;Vincent Price
57;mn0000005953;Alice Cooper;mn0000235169;Rob Zombie
14;mn0000005953;Alice Cooper;mn0000625014;Brian Auger
33;mn0000005953;Alice Cooper;mn0000754055;Sophie B. Hawkins
19;mn0000005953;Alice Cooper;mn0000774227;Nicole Scherzinger
51;mn0000005953;Alice Cooper;mn0000885501;Michael Bruce
40;mn0000005953;Alice Cooper;mn0000930444;Airbourne
57;mn0000005953;Alice Cooper;mn0001528528;Billion Dollar Babies
41;mn0000005953;Alice Cooper;mn0002168235;California Boys Choir
6;mn0000005953;Alice Cooper;mn0003735808;Original Television Cast of Jesus Christ Superstar Live In Concert
24;mn0000006320;Toto;mn0000108256;Cheryl Lynn
21;mn0000006320;Toto;mn0000186477;Greg Lake
9;mn0000006320;Toto;mn0000617196;Brian Eno
16;mn0000006320;Toto;mn0001597297;A Hard Mountain
17;mn0000006320;Toto;mn0001742300;Rose Laurens
16;mn0000006320;Toto;mn0002980109;What So Not
11;mn0000006334;Tony Bennett;mn0000029884;Paul McCartney
37;mn0000006334;Tony Bennett;mn0000080780;Sheryl Crow
